,Address,City,State,Zip,id,link,name,phone
328,ARGOSY UNIVERSITY,1001 BISHOP STREET,BI,400,9424,808-791-5231,ARGOSY UNIVERSITY,"HONOLULU, HI   96813"
329,"1001 BISHOP STREET, 400 ASB TOWER",HONOLULU,HI,96813,8742,http://www.argosyu.edu/,ARGOSY UNIVERSITY,808-536-5555
330,EDUCATION CENTER YANO HALL,SCHOFIELD BARRACKS,BA,96857,7124,http://www.hpu.edu/,HAWAII PACIFIC UNIVERSITY,808-422-0204
331,"BUILDING 679, 2ND FLOOR, ROOM 207",PEARL HARBOR,HA,4673,7107,http://www.hpu.edu/,HAWAII PACIFIC UNIVERSITY,808-422-0204
332,"FIFTH STREET, BUILDING 220",MCBH KANEOHE,KA,96863,7120,http://www.hpu.edu/,HAWAII PACIFIC UNIVERSITY,808-422-0204
333,900 HANGER AVENUE,HICKAM AFB,AF,5256,7115,http://www.hpu.edu/,HAWAII PACIFIC UNIVERSITY,808-422-0204
334,"1060 BISHOP STREET, SUITE 600",HONOLULU,HI,2810,9167,http://www.hpu.edu/,HAWAII PACIFIC UNIVERSITY - DOWNTOWN HONOLULU CAMPUS,808) 544-9334
335,"BUILDING 102, ROOM 111",TRIPLER AMC,AM,96859,7133,http://www.hpu.edu/,HAWAII PACIFIC UNIVERSITY - TRIPLER,808) 543-8056
336,"1601 KAPIOLANI BOULEVARD, SUITE 1000",HONOLULU,HI,96814,9827,http://www.icchawaii.edu/,INTERCULTURAL COMMUNICATIONS COLLEGE,808-946-2445
337,KAUAI COMMUNITY COLLEGE,3,KA,,9833,808-245-8306,KAUAI COMMUNITY COLLEGE,"LIHUE, HI   96766"
338,"745 FORT STREET, SUITE 2000",HONOLULU,HI,96813,8522,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX â HAWAII CAMPUS - HONOLULU,808) 524-9854
339,"949 KAMOKILA BLVD, SUITE 101",KAPOLEI,HI,96707,8999,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX - KAPOLEI LEARNING CENTER,808) 524-9848
340,95-1091 AINAMAKUA DRIVE,MILILANI,HI,96789,8215,http://www.wbu.edu/colleges-in-hawaii/,WAYLAND BAPTIST UNIVERSITY,808-222-9407
341,1310 19TH AVE NW,CLINTON,IA,52732,9508,http://www.ashford.edu,ASHFORD UNIVERSITY- IOWA CAMPUS,866) 974-5700
342,1550 CLARK DRIVE,DUBUQUE,IA,3198,8316,http://www.clarke.edu/,CLARKE UNIVERSITY,319-588-6354
343,1200 GRANDVIEW AVENUE,DES MOINES,MO,50316,9818,http://www.grandview.edu/,GRAND VIEW UNIVERSITY,515-263-2971
344,7105 NW 70TH AVENUE,JOHNSTON,IA,50131,8076,http://www.grandview.edu/,GRAND VIEW UNIVERSITY,515-252-4546
345,525 GRANDVIEW AVE. TRUSTEE HALL,OTTUMWA,IA,52501,8971,http://www.ibcc.cc.ia.us/,INDIAN HILLS COMMUNITY COLLEGE,641) 683-5142
346,300 SOUTH 18TH STREET,ESTHERVILLE,IA,51334,9026,http://www.ilcc.cc.ia.us/,IOWA LAKES COMMUNITY COLLEGE,712-362-7935
347,1801 E KIMBERLY RD #1,DAVENPORT,IA,52807,9634,http://www.kaplanuniversity.edu/davenport-iowa.aspx,KAPLAN UNIVERSITY - DAVENPORT (MAIN CAMPUS),563) 355-3500
348,1501 WEST TOWNLINE STREET,CRESTON,IA,50801,8835,http://www.swcc.cc.ia.us/,SOUTHWESTERN COMMUNITY COLLEGE,641-782-1330
349,2000 UNIVERSITY AVENUE,DUBUQUE,IA,52001,8291,http://www.dbq.edu/,THE UNIVERSITY OF DUBUQUE,563) 589-3262
350,250 CEF / 30 S. DUBUQUE STREET,IOWA CITY,CI,52242,8844,http://www.uiowa.edu/,UNIVERSITY OF IOWA,319) 384-4800
351,125 STUDENT SERVICES,CEDAR FALLS,FA,0383,8937,http://www.uni.edu/,UNIVERSITY OF NORTHERN IOWA,319-273-6024
352,"5000 WESTOWN PKWY, SUITE 200",WEST DES MOINES,DE,50266,9500,http://uiu.edu/locations/desmoines/index.html,UPPER IOWA UNIVERSITY-DES MOINES,5152251800
353,3563 UNIVERSITY AVENUE,WATERLOO,IA,50701,7740,http://www.uiu.edu,UPPER IOWA UNIVERSITY-WATERLOO CENTER,319-232-6980
354,4647 STONE AVE,SIOUX CITY,CI,51106,8284,http://www.witcc.edu/,WESTERN IOWA TECH. COMMUNITY COLLEGE,712)-274-6443
355,201 TRUEBLOOD AVENUE,OSKALOOSA,IA,52577,9642,http://www.wmpenn.edu/,WILLIAM PENN UNIVERSITY,641-673-1100
356,"1275 NORTHWEST 128 STREET, SUITE 200",CLIVE,IA,50325,9486,http://www.wmpenn.edu/,WILLIAM PENN UNIVERSITY COLLEGE FOR WORKING ADULTS,641) 673-1323
357,1910 UNIVERSITY DRIVE,BOISE,ID,83725,9066,http://aae.boisestate.edu/testing/,BOISE STATE UNIVERSITY,208) 426-1000
358,"665 FALCON STREET, 366 MSS/DPE",MOUNTAIN HOME AFB,HO,83648,7132,https://extendedstudies.boisestate.edu/mountainhome/mtn-home-national-testing-services/,BOISE STATE UNIVERSITY - MOUNTAIN HOME AFB,208) 828-6746
359,"MEYERHOEFFER BUILDING, 315 FALLS AVENUE",TWIN FALLS,FA,83303,9489,http://www.csi.edu/,COLLEGE OF SOUTHERN IDAHO,208-732-6569
360,"921 S. 8TH , 2ND FLOOR, SOUTH SIDE",POCATELLO,ID,83209,9173,http://www.isu.edu/,IDAHO STATE UNIVERSITY,208-282-2130
361,623 HOLLY STREET,NAMPA,ID,5897,8434,http://www.nnu.edu/,NORTHWEST NAZARENE UNIVERSITY,208-467-8465
362,"CHICAGO, IL   60659",773,,0268,8008,http://www.assu.us/,ASSU/COGNITIVE TESTING CENTER,773-255-2481
363,"6006 WEST 159TH STREET, BUILDING B, 2ND FLOOR",OAK FOREST,FO,60452,8023,http://www.assu.us/,ASSU/COGNITIVE TESTING CENTER,773-224-7890
364,9501 S. MARTIN LUTHER KING DRIVE,CHICAGO,IL,1598,8986,http://www.csu.edu/,CHICAGO STATE UNIVERSITY,773-995-2000
365,"226 W JACKSON BLVD, RM 912",CHICAGO,IL,60606,9094,http://www.ccc.edu/,CITY COLLEGES OF CHICAGO,312-553-2500
366,"425 FAWELL BOULEVARDSPECIALIZED TESTING, BIC 2407",GLEN ELLYN,EL,60137,9107,http://www.cod.edu/,COLLEGE OF DUPAGE,630) 942-2401
367,1120 S. MILWAUKEE AVE,VERNON HILLS,HI,60061,7900,http://www.clcillinois.edu/southlake/,COLLEGE OF LAKE COUNTY,847-543-6544
368,19351 WEST WASHINGTON ST,GRAYSLAKE,IL,60030,9109,http://www.clcillinois.edu/,COLLEGE OF LAKE COUNTY,847-223-2000
369,"2221 MCDONOUGH DRIVE, BUILDING 617, ROOM 209",GREAT LAKES,LA,60088,7140,http://www.clcillinois.edu/,COLLEGE OF LAKE COUNTY - GREAT LAKE NAVAL BASE,847) 543-2971
370,33 NORTH GENESEE STREET,WAUKEGAN,IL,60085,9546,http://www.clcillinois.edu/,COLLEGE OF LAKE COUNTY - LAKESHORE CAMPUS,847) 543-2120
371,446 NORTH ROUTE 31,CRYSTAL LAKE,LA,60012,9857,http://www.ccis.edu/nationwide/crystallake/,COLUMBIA COLLEGE,815-477-5440
372,"1225 TRI-STATE PARKWAY, STE 560",GURNEE,IL,60031,7735,http://www.ccis.edu/lakecounty/,COLUMBIA COLLEGE,847-336-6333
373,1221 N. SWIFT ROAD,ADDISON,IL,60101,7820,http://www.devry.edu/,DEVRY UNIVERSITY,630-652-8395
374,"600 LINCOLN AVE., RM 2100, NINTH STREET HALL",CHARLESTON,IL,61920,9133,http://www.eiu.edu/,EASTERN ILLINOIS UNIVERSITY,217-581-5986
375,1 UNIVERSITY PARKWAY,UNIVERSITY PARK,PA,60484,8536,http://www.govst.edu/testing-center/,GOVERNOR\\'S STATE UNIVERSITY,708) 235-7555
376,2992 WEST PEARL CITY RD,FREEPORT,IL,61032,8639,http://www.highland.cc.il.us/,HIGHLAND COMMUNITY COLLEGE,815-599-3680
377,"1 COLLEGE DRIVE, TESTING CENTER ROOM L220",EAST PEORIA,PE,61635,8707,http://www.icc.edu/,ILLINOIS CENTRAL COLLEGE,309) 694-5234
378,"5407 N. UNIVERSITY STREET, ARBOR 103",PEORIA,IL,61635,8699,http://icc.edu/,ILLINOIS CENTRAL COLLEGE - NORTH CAMPUS,309) 690-6991
379,"ILLINOIS STATE UNIVERSITY FELL HALL, ROOM 346",NORMAL,IL,4060,9769,http://www.ilstu.edu/,ILLINOIS STATE UNIVERSITY,309-438-2100
380,5800 GODFREY RD,GODFREY,IL,62035,9502,http://www.lc.cc.il.us/,LEWIS & CLARK COMMUNITY COLLEGE,618-466-3411
381,5250 SHEPARD ROAD,SPRINGFIELD,IL,62794,9108,http://www.llcc.edu/,LINCOLN LAND COMMUNITY COLLEGE,217-786-2211
382,"122 SOUTH MICHIGAN AVENUE, SUITE 3005",CHICAGO,IL,60603,8270,http://www.nl.edu/transferinfo/creditbyexamination/,NATIONAL LOUIS UNIVERSITY,312-261-3359
383,1000 CAPITAL DRIVE,WHEELING,IL,60090,8586,http://www.nl.edu/transferinfo/creditbyexamination/,NATIONAL LOUIS UNIVERSITY,630-874-4320
384,850 WARRENVILLE ROAD,LISLE,IL,1356,8340,http://www.nl.edu/transferinfo/creditbyexamination/,NATIONAL-LOUIS UNIVERSITY,630-874-4319
385,ADAMS 128,DEKALB,IL,1204,9530,http://www.niu.edu/,NORTHERN ILLINOIS UNIVERSITY,815-753-6051
386,ONE COLLEGE PARK,DECATUR,IL,62521,9992,http://www.richland.edu/,RICHLAND COMMUNITY COLLEGE,217-875-7211 X364
387,3301 NORTH MULFORD ROAD,ROCKFORD,IL,61114,8549,http://www.rockvalleycollege.edu/,ROCK VALLEY COLLEGE,815) 921-2385
388,173 ILLINOIS ROUTE 2,DIXON,IL,9188,9649,http://www.svcc.edu/,SAUK VALLEY COMMUNITY COLLEGE,815-288-5511 X293
389,"TEST SERVICES, MAILCODE 3703",CARBONDALE,IL,62901,9318,http://testingservices.siu.edu/,SOUTHERN ILLINOIS UNIVERSITY,618-453-6003
390,15800 SOUTH STATE STREET,SOUTH HOLLAND,HO,60473,8242,http://www.southsuburbancollege.edu/,SOUTH SUBURBAN COLLEGE,708) 596-2000 EX. 2495
391,"SCOTT AFB, IL   62225-1607",618,,6677,7294,http://www.swic.edu/,SOUTHWESTERN ILLINOIS COLLEGE,ON BASE SITE ONLY
392,"1431 OPUS PLACE, SUITE 300",DOWNERS GROVE,GR,60515,8026,http://www.strayer.edu/,STRAYER UNIVERSITY,630-874-6129
393,"2245 SEQUOIA DRIVE, SUITE 301-A",AURORA,IL,60506,8580,http://www.strayer.edu/,STRAYER UNIVERSITY,331-643-4829
394,"1101 PERIMETER DRIVE, SUITE 300",SCHAUMBURG,IL,60173,8015,http://www.strayer.edu/,STRAYER UNIVERSITY,847-273-2779
395,2065 HALF DAY ROAD,DEERFIELD,IL,60015,8570,http://www.tiu.edu/,TRINITY INTERNATIONAL UNIVERSITY,847-317-8181
396,2000 FIFTH AVE,RIVER GROVE,GR,60171,8069,http://www.triton.edu/,TRITON COLLEGE,708) 456-3252
397,"610 E. JOHN ST., ROOM G1, TURNER STUDENT SERVICES BLDG",CHAMPAIGN,IL,61820,8584,http://www.uiu.edu/,UNIVERSITY OF ILLINOIS - URBANA CHAMPAIGN,217-333-1342
398,203 N. LASALLE,CHICAGO,IL,60601,9024,http://www.phoenix.edu/,UNIVERSITY OF PHOENIX,312-223-1101 X76888
399,500 WILCOX STREET,JOLIET,IL,60435,8656,http://www.stfrancis.edu/,UNIVERSITY OF ST. FRANCIS,815-740-3590
400,1161 TEBALA BLVD,ROCKFORD,IL,61108,8210,http://www.uiu.edu/locations/educationcenters/uscenters/rockford.html,UPPER IOWA UNIVERSITY- ROCKFORD CENTER,815-332-1414
401,RT.47 AT WAUBONSEE DRIVE,SUGAR GROVE,GR,60554,8767,http://www.waubonsee.edu,WAUBONSEE COMMUNITY COLLEGE,630) 466-2358
402,3300 RIVER DRIVE ROOM 2215,MOLINE,IL,61265,7220,http://www.wiu.edu/qc/,WESTERN ILLINOIS UNIVERSITY,309-762-9481
403,102 MEMORIAL HALL,MACOMB,IL,61455,8488,http://www.wiu.edu,WESTERN ILLINOIS UNIVERSITY,309) 298-2453
404,7215 GRAPE ROAD,GRANGER,IN,46530,8018,http://www.assu.us/,ASSU/COGNITIVE TESTING CENTER,574-272-4000
405,"11350 N. MERIDIAN STREET, SUITE 200",CARMEL,IN,46032,8681,http://www.cuw.edu/,CONCORDIA UNIVERSITY - INDIANAPOLIS CENTER,317-844-1711
406,1700 S. MAIN STREET,GOSHEN,IN,46526,9995,http://www.goshen.edu/,GOSHEN COLLEGE,219-535-7383
407,200 SEMINARY DRIVE,WINONA LAKE,LA,46590,7769,http://www.grace.edu/,GRACE COLLEGE & THEOLOGICAL SEMINARY,574-372-5100
408,2303 COLLEGE AVE,HUNTINGTON,IN,1299,8034,http://www.huntington.edu/,HUNTINGTON UNIVERSITY,260-359-4290 X2090
409,1600 EAST WASHINGTON BOULEVARD,FORT WAYNE,WA,46803,9521,http://www.indianatech.edu/,INDIANA INSTITUTE OF TECHNOLOGY,260-422-5561 X2217
410,"UNIVERSITY TESTING, ERICKSON HALL 231, 218 NORTH SIXTH STREET",TERRE HAUTE,HA,47809,8206,http://www.indstate.edu/,INDIANA STATE UNIVERSITY,812-237-7666
411,"KOKOMO, IN   46904",800,,7459,8726,http://www.iuk.edu/,INDIANA UNIVERSITY,765-455-9407
412,3400 BROADWAY,GARY,IN,46408,8562,http://www.iun.edu/,INDIANA UNIVERSITY - NORTHWEST,219-980-6828
413,4601 CENTRAL AVENUECC ROOM 156H,COLUMBUS,IN,47203,9544,http://www.iupuc.edu/,INDIANA UNIVERSITY PURDUE UNIVERSITY COLUMBUS,812) 348-7200
414,"620 UNION DRIVE, SUITE G-003",INDIANAPOLIS,IN,5167,8683,http://www.iupui.edu/,INDIANA UNIVERSITY-PURDUE UNIVERSITY - INDIANAPOLIS,317-274-3324
415,"PO BOX 1033, WIEKAMP HALL 3183",SOUTH BEND,BE,7111,9556,http://www.iusb.edu/,INDIANA UNIVERSITY - SOUTH BEND,574-520-4478
416,"UNIVERSITY CENTER SOUTH, STUDENT DEVELOPMENT CENTER, 4201 GRANT LINE RD, ROOM 203 (US 203)",NEW ALBANY,AL,47150,8867,http://www.ius.edu/sdc,INDIANA UNIVERSITY - SOUTHEAST,812-941-2309
417,3449 JONATHAN MOORE PIKE,COLUMBUS,IN,47201,9946,http://www.indwes.edu/,INDIANA WESLEYAN UNIVERSITY,812-376-7346
418,8211 W. JEFFERSON BLVD,FORT WAYNE,WA,46804,9687,http://www.indwes.edu/,INDIANA WESLEYAN UNIVERSITY,260-918-1212
419,8415 GEORGIA STREET,MERRILLVILLE,IN,46410,8263,http://www.indwes.edu/,INDIANA WESLEYAN UNIVERSITY,219-769-5100
420,"APS STUDENT SERVICES, 1900 WEST 50TH STREET",MARION,IN,46953,8781,http://www.indwes.edu/,INDIANA WESLEYAN UNIVERSITY,765-677-2881
421,3777 PRIORITY WAY SOUTH DRIVE,INDIANAPOLIS,IN,46240,9686,http://www.indwes.edu/,INDIANA WESLEYAN UNIVERSITY - INDIANAPOLIS NORTH CAMPUS,317) 818-4854
422,"FORT WAYNE, IN   76805",260,,2012,7269,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,260-480-2043
423,3401 FIRST AVENUE,EVANSVILLE,IN,47710,8628,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,812-429-1460
424,3701 DEAN DRIVE,FT WAYNE,WA,46385,8713,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,260-480-2043
425,4475 CENTRAL AVE,COLUMBUS,IN,47203,8795,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,812-314-8538
426,"BLOOMINGTON, IN   47404",812,,6137,7265,http://www.distancetesting-bloomington@lists.ivytech.edu,IVY TECH COMMUNITY COLLEGE,http://www.ivytech.edu/
427,3401 FIRST AVENUE,EVANSVILLE,IN,47710,7268,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,812-429-9852
428,"COLUMBUS, IN   47203",812,,5211,7266,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,800-922-4838 X5246
429,590 IVY TECH DRIVE,MADISON,IN,47250,7276,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,812-265-2580 X4184
430,1701 TOUBY PIKE,KOKOMO,IN,46901,7272,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,765-459-0561 X527
431,1 IVY TECH WAY,LOGANSPORT,IN,46947,7275,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,574-753-5101 X052229
432,22531 CR 18,GOSHEN,IN,46528,7267,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,574-830-0375 X 4484
433,"9301 E. 59TH STREET, ROOM 152",INDIANAPOLIS,IN,46216,7271,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,317-917-5991
434,920 COUNTY LINE ROAD,BATESVILLE,IN,47006,7289,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,812-934-3954 X20
435,915 S. ZINC MILL ROAD,GREEN CASTLE,CA,46135,7290,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,765-653-7410
436,"MARION, IN   46952",765,,3319,7277,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,765-651-3100 X3334
437,4201 S. COWAN ROAD,MUNCIE,IN,47302,7278,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,765-289-2291 X1419 or X1320
438,2431 S. CRABTREE DRIVE,PRINCETON,IN,47670,7279,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,812-385-8495
439,3100 IVY TECH DRIVE,VALPARAISO,IN,46383,7285,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,219-476-4722
440,2545 SILVEUS CROSSING,WARSAW,IN,46580,7286,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,574-267-5428 X 7232
441,1034 31ST STREET,TELL CITY,CI,47586,7283,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE,812-547-3642
442,815 EAST 60TH STREET,ANDERSON,IN,46013,7264,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE - ANDERSON,765) 643-7133 EX2022
443,1815 EAST MORGAN STREET ROOM M100,KOKOMO,IN,46901,9316,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE - KOKOMO CAMPUS,765) 459-0561 EX. 7509
444,3101 S. CREASY LANE,LAFAYETTE,IN,47905,9930,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE - LAFAYETTE CAMPUS,765) 269-5238
445,50 WALNUT STREET,LAWRENCEBURG,IN,47025,8360,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE - LAWRENCEBURG CAMPUS,812) 537-4010 EXT. 5501
446,2357 CHESTER BLVD.MCDANIEL HALL RM.1128,RICHMOND,IN,47374,8115,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE - RICHMOND CAMPUS,765) 966-2656 EX. 4133
447,8204 HIGHWAY 311,SELLERSBURG,IN,47172,7281,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE - SELLERSBURG,812) 246-3301 X4231 OR X4156
448,8204 HIGHWAY 311PFAU HALL RM. G22,SELLERSBURG,IN,47172,8487,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE - SELLERSBURG CAMPUS,812) 246-3301 4156 OR 4502
449,250 EAST SAMPLE STREET,SOUTH BEND,BE,46601,8920,http://www.ivytech.edu/,IVY TECH COMMUNITY COLLEGE - SOUTH BEND CAMPUS,574) 289-7001 EX. 1235
450,IVY TECH STATE COLLEGE,1440 EAST 35TH AVE,EA,,8196,888) IVY-LINE,IVY TECH STATE COLLEGE,"GARY, IN   46409"
451,1700 E. INDUSTRIAL DRIVE,TERRE HAUTE,HA,47802,8388,https://www.ivytech.edu/,IVY TECH STATE COLLEGE - TERRE HAUTE CAMPUS,812) 298-2382
452,3200 COLD SPRING ROAD,INDIANAPOLIS,IN,46222,9333,http://www.marian.edu/,MARIAN UNIVERSITY,317-955-6150
453,138 N. LUCRETIA ST,OAKLAND CITY,CI,1099,8445,http://www.oak.edu/,OAKLAND CITY UNIVERSITY,812-749-1378
454,1 ST. MARY OF WOODS COLL,ST,MA,47876,9328,http://www.smwc.edu/,SAINT MARY OF THE WOODS,812-535-5151
455,9025 NORTH RIVER RD.,INDIANAPOLIS,IN,46240,8493,http://www.strayer.edu/,STRAYER UNIVERSITY,317-810-7729
456,"1400 EAST HANNA AVENUE, ESH HALL, ROOM 131",INDIANAPOLIS,IN,46227,9520,http://www.uindy.edu/,UNIVERSITY OF INDIANAPOLIS,317-788-3504
457,601 NORTH SHORTRIDGE ROAD,INDIANAPOLIS,IN,46219,8724,http://www.veritycollegeeducation.org,VERITY COLLEGE EDUCATION,844) 383-7489
458,"1002 NORTH FIRST ST, SHAKE LRC - 22",VINCENNES,IN,47591,9382,http://www.vinu.edu/,VINCENNES UNIVERSITY,812) 888-5404
459,"3450 N. ROCK ROAD, BLDG 400",WICHITA,KS,67226,9175,http://www.bakeru.edu/,BAKER UNIVERSITY,316-636-2322
460,7301 COLLEGE BLVD. STE. 120,OVERLAND PARK,PA,66210,9696,http://www.bakeru.edu/,BAKER UNIVERSITY,913) 491-4432
461,2641 SW WANAMAKER ROAD,TOPEKA,KS,66614,7254,http://www.bakeru.edu/,BAKER UNIVERSITY - TOPEKA,913) 491-4432
462,"FORT RILEY LEARNING SERVICES AND MILITARY OPERATIONS, BUILDING 211 CUSTER AVENUE ROOM 211",FORT RILEY,RI,66442,7201,http://www.bartonccc.edu/,BARTON COMMUNITY COLLEGE,785-784-6606 EXT 763
463,53474 LAWRENCE COURT,MCCONNELL AFB,AF,67221,7221,http://www.butlercc.edu/,BUTLER COMMUNITY COLLEGE,316-681-3522
464,HAVERHILL RD/TOWANDA AVE,EL DORADO,DO,67042,9074,http://www.butlercc.edu/,BUTLER COUNTY COMMUNITY COLLEGE,316-321-2222
465,600 PARK STREET,HAYS,KS,4099,9151,http://www.fhsu.edu/,FORT HAYS STATE UNIVERSITY,785-628-4401
466,16025 W 113TH STREET,LENEXA,KS,66219,7346,http://www.grantham.edu/,GRANTHAM UNIVERSITY,800-955-2527
467,"HOLTON HALL, RM 101B",MANHATTAN,KS,66506,9186,http://www.ksu.edu/,KANSAS STATE UNIVERSITY,913-532-5392
468,200 S. 14TH STREET,PARSONS,KS,67357,8346,http://labette.edu/,LABETTE COMMUNITY COLLEGE,620-820-1182
469,1415 ANDERSON AVE,MANHATTAN,KS,4081,8875,http://www.mccks.edu/,MANHATTAN CHRISTIAN COLLEGE,785-539-3571
470,2030 E. COLLEGE WAY,OLATHE,KS,66062,8801,http://www.mnu.edu/,MIDAMERICA NAZARENE UNIVERSITY,913-971-3387
471,1001 S. CEDAR,OTTAWA,KS,66067,8655,http://www.ottawa.edu/,OTTAWA UNIVERSITY,785-242-5200
472,"4370 WEST 109TH STREET, SUITE 200",OVERLAND PARK,PA,66211,9356,http://www.ottawa.edu,OTTAWA UNIVERSITY - OVERLAND PARK CAMPUS,913) 266-8600
473,"1701 S. BROADWAY, WHITESITT HALL 206 B",PITTSBURG,KS,66762,9538,http://www.pittstate.edu/,PITTSBURG STATE UNIVERSITY,620-235-4267
474,2562 CENTENNIAL RD,SALINA,KS,67401,9407,http://www.salinatech.edu/,SALINA AREA TECHNICAL COLLEGE,785) 309-3111
475,1801 NORTH KANSAS,LIBERAL,KS,1137,8876,http://www.scc.edu/,SEWARD COUNTY COMMUNITY COLLEGE,316-629-2650
476,"7348 WEST 21ST STREET, SUITE 117",WICHITA,KS,67205,9534,http://www.tabor.edu/,TABOR COLLEGE WICHITA,316-729-6333
477,1300 SUNNYSIDE AVENUE SUMMERFIELD HALL SUITE 350,LAWRENCE,KS,66045,9543,http://www.ku.edu,UNIVERSITY OF KANSAS,785) 864-2768
478,1700 SW COLLEGE AVE,TOPEKA,KS,66621,8746,http://www.washburn.edu,WASHBURN UNIVERSITY,785) 670-1223
479,"1845 NORTH FAIRMOUNT, 320 GRACE WILKIE HALL",WICHITA,KS,0091,9391,http://www.wichita.edu/,WICHITA STATE UNIVERSITY,316-978-3440
480,1400 COLLEGE DR,ASHLAND,KY,41101,8577,http://www.ashlandcc.edu/,ASHLAND COMMUNITY COLLEGE,606-329-2999
481,164 OPPORTUNITY WAY,LEXINGTON,KY,40356,9118,http://www.bluegrass.kctcs.edu/,BLUEGRASS COMMUNITY AND TECHNICAL COLLEGE,859-246-6669
482,"FORT CAMPBELL CENTER, PO BOX 565",FORT CAMPBELL,CA,42223,9288,http://www.erau.edu/,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,270-798-2775
483,500 TECHNOLOGY WAY,FLORENCE,KY,41042,8492,http://www.gateway.kctcs.edu/,GATEWAY COMMUNITY & TECHNICAL COLLEGE,859-442-1159
484,"ENGLISH ARMY EDUCATION CENTER, 202 BASTOGNE AVENUE, ROOM 1218",FORT CAMPBELL,CA,42225,7171,http://hopkinsville.kctcs.edu,HOPKINSVILLE COMMUNITY COLLEGE,270-707-3970
485,1500 ALLIANT AVENUE,LOUISVILLE,KY,40299,9947,http://www.indwes.edu/,INDIANA WESLEYAN UNIVERSITY,502-261-5000
486,400 E. MAIN ST. EXUM 106,FRANKFORT,KY,40601,8568,http://kysu.edu/,KENTUCKY STATE UNIVERSITY,502) 597-5696
487,99 POWELL ROAD EAST,MAYFIELD,KY,42066,9768,http://www.mccks.edu/,MID-CONTINENT UNIVERSITY,270-247-8521 X228
488,"1375 CHESTNUT ST., MURRAY, KY 42071 OAKLEY APPLIED SCIENCE BUILDING C 105",MURRAY,KY,0009,8274,http://www.murraystate.edu/testingcenter,MURRAY STATE UNIVERSITY,270) 809-6848
489,"100 NUNN DR. UNIVERSITY CENTER BUILDING, ROOM. 101",HIGHLAND HEIGHTS,HE,41099,7910,http://testing.nku.edu/,NORTHERN KENTUCKY UNIVERSITY,859) 572-6373
490,"7300 TURFWAY ROAD, SUITE 250",FLORENCE,KY,41042,7932,http://www.strayer.edu/,STRAYER UNIVERSITY,859-692-2800
491,"2650 EASTPOINT PARKWAY, SUITE 100",LOUISVILLE,KY,40223,9936,http://www.strayer.edu/,STRAYER UNIVERSITY,502-253-5029
492,333 THOMAS MORE PARKWAY,CRESTVIEW HILLS,HI,41017,9550,http://www.thomasmore.edu/,THOMAS MORE COLLEGE,859-344-4067
493,"DAVIDSON HALL, ROOM 310, 106 EAST BRANDEIS STREET",LOUISVILLE,KY,40292,9548,http://www.louisville.edu/,UNIVERSITY OF LOUISVILLE,502-852-6606
494,"63 QUARTERMASTER STREET - STE. 301, BUILDING 63,",FORT KNOX,KN,40121,7183,http://www.louisville.edu/,UNIVERSITY OF LOUISVILLE - FORT KNOX,502) 942-8060
495,1906 COLLEGE HEIGHTS BOULEVARD #11024,BOWLING GREEN,GR,42101,9906,http://www.wku.edu/,WESTERN KENTUCKY UNIVERSITY,270-745-3158
496,"201 COMMUNITY COLLEGE DR RM 160, MAGNOLIA BLDG",BATON ROUGE,RO,70806,8845,http://www.mybrcc.edu,BATON ROUGE COMMUNITY COLLEGE - MID-CITY CAMPUS,225) 216-8038
497,"6220 EAST TEXAS STREET, BUILDING D, ROOM 203",BOSSIER CITY,CI,71111,8147,http://www.bpcc.edu/testingcenter,BOSSIER PARISH COMMUNITY COLLEGE,318) 678-6002
